383498,209112
383498,155
383498,272
383498,10138
383498,49521
402900,1572
402900,75656
402900,9654
402900,949
402900,489931
466282,43923
466282,449176
466282,308369
466282,9880
466282,12689
454983,449176
454983,101299
454983,9769
454983,49022
454983,417678
363088,141052
363088,49521
363088,99861
363088,297762
363088,209112
455980,460019
455980,2770
455980,353486
455980,489931
455980,470229
293660,141052
293660,1452
293660,1924
293660,8536
293660,379291
283995,299536
283995,1924
283995,8536
283995,1452
283995,9531
487558,324786
487558,363676
487558,1883
487558,424
487558,489931
177572,281957
177572,479
177572,2048
177572,238636
177572,956
399174,531
399174,263109
399174,387592
399174,533
399174,530
445571,275
445571,473149
445571,425591
445571,270487
445571,309809
150540,812
150540,260513
150540,12092
150540,11360
150540,16577
291805,467938
291805,260346
291805,281957
291805,241554
291805,9654
269149,278927
269149,346364
269149,101299
269149,338970
269149,27576
166426,1865
166426,22
166426,58
166426,285
166426,72197
20352,342473
20352,93456
20352,19101
20352,11774
20352,309809
507562,81
507562,507569
507562,495925
507562,4935
507562,8392
462919,224141
462919,429417
462919,621
462919,15121
462919,13885
455207,8966
455207,50124
455207,281957
455207,449176
455207,454983
353486,258489
353486,333339
353486,70160
353486,131631
353486,328387
194662,98566
194662,155
194662,272
194662,14
194662,49026
257344,251516
257344,333339
257344,603
257344,604
257344,620
455656,19840
455656,10625
455656,272693
455656,2105
455656,449176
14160,9479
14160,3933
14160,326359
14160,145316
14160,32085
207703,141052
207703,155
207703,272
207703,1726
207703,49521
808,809
808,10882
808,38757
808,10020
808,321612
82702,10191
82702,10054
82702,425
82702,6637
82702,111
181533,1593
181533,863
181533,122
181533,18360
181533,6637
387592,425
387592,49519
387592,278154
387592,17610
387592,77875
98566,272
98566,68721
98566,1930
98566,604
98566,209112
425,49519
425,278154
425,387592
425,17610
425,10567
449176,398818
449176,376867
449176,26280
449176,511785
449176,26371
2062,6283
2062,308531
2062,10009
2062,10137
2062,10199
460668,2062
460668,453
460668,694
460668,745
460668,181886
159824,76492
159824,9479
159824,767
159824,129
159824,671
420814,424
420814,316029
420814,324786
420814,640
420814,769
335797,260514
335797,9836
335797,258509
335797,9986
335797,9598
437557,376660
437557,11631
437557,112160
437557,391713
437557,14
11631,437557
11631,109445
11631,392
11631,382591
11631,2539
454619,3134
454619,281957
454619,357096
454619,156022
454619,311
18785,298
18785,137093
18785,324668
18785,524
18785,9029
62177,10144
62177,109445
62177,10555
62177,10882
62177,10693
339846,152747
339846,11836
339846,205775
339846,2756
339846,228165
458423,224141
458423,11224
458423,10020
458423,10882
458423,11631
118,252
118,9880
118,10830
118,34584
118,411
400155,49017
400155,277
400155,24021
400155,76492
400155,124905
454992,691
454992,954
454992,646
454992,36669
454992,37724
214756,10193
214756,72105
214756,250546
214756,11249
214756,11187
254470,114150
254470,290762
254470,354912
254470,6477
254470,525
313369,10947
313369,525
313369,10545
313369,6477
313369,630
76492,159824
76492,129
76492,671
76492,672
76492,675
391713,84892
391713,398818
391713,376867
391713,273153
391713,11421
608,607
608,601
608,840
608,395
608,954
390043,1620
390043,245891
390043,249070
390043,59967
390043,156022
270946,10140
270946,10527
270946,920
270946,953
270946,12
920,127380
920,62211
920,364689
920,168259
920,6477
72105,862
72105,19913
72105,50544
72105,1024
72105,290762
809,10882
809,808
809,150689
809,810
809,10140
37834,954
37834,646
37834,2502
37834,206647
37834,207703
9502,278927
9502,140300
9502,812
9502,604
9502,24
106646,4771
106646,261023
106646,769
106646,398181
106646,339692
585,62211
585,1124
585,339404
585,9691
585,55721
384677,769
384677,2291
384677,7859
384677,18487
384677,11474
93456,49519
93456,10054
93456,20352
93456,207703
93456,324852
1593,351286
1593,181533
